,origin,vectors_redux,target
0,s3a://vivianorsprojet8/dataset/Pineapple/116_100.jpg,"[11.155305263739486, -1.9322724265188072, 0.011947394854633002, -2.875845626485827, -0.611482024660947, 1.08037421325411, 0.009179610311710001, 0.019302998181106, 1.164584152043783, -0.693134684144711]",Pineapple
1,s3a://vivianorsprojet8/dataset/Pineapple/119_100.jpg,"[10.836595752156528, -1.647366647527635, -0.500146370334512, -2.432451519280948, -0.59086802809687, 0.9432918740239901, -0.072247267892317, -0.209041756427674, 1.105302662880503, -0.495032993102459]",Pineapple
2,s3a://vivianorsprojet8/dataset/Pineapple/112_100.jpg,"[11.929215624288979, -2.039589383236388, 0.353912520983566, -3.786996773844628, -0.5778845292589341, 0.7124140544959661, 0.49444146567794706, 0.128539980152651, 1.768509098988144, -0.722329122852818]",Pineapple
3,s3a://vivianorsprojet8/dataset/Pineapple/149_100.jpg,"[11.681932915058056, -1.8990681139259662, -0.8262441817366281, -2.847225755878099, -1.402240141288004, 0.20339078182188602, 0.48507830368020505, -0.35864891127631704, 1.483891385111964, -2.51870995177766]",Pineapple
4,s3a://vivianorsprojet8/dataset/Pineapple/121_100.jpg,"[11.19777385992577, -1.706469556255533, -0.400277669473783, -2.662441568048566, -0.865769552291178, 0.15310878683064502, 0.013335251901876, 0.6508983986098561, 1.172807032289348, -0.40815324805740705]",Pineapple
5,s3a://vivianorsprojet8/dataset/Pineapple/114_100.jpg,"[11.23844927190826, -1.799781305235642, -0.12262254464508102, -3.094253904681784, -0.563578989279514, 1.534500321132636, 0.049333947955058, -0.150701909764438, 0.8881702918542671, -0.47814807627041706]",Pineapple
6,s3a://vivianorsprojet8/dataset/Pineapple/125_100.jpg,"[11.531467367114223, -1.8951719900080541, -0.339779006621352, -3.058331923713373, -0.7373068077271421, 0.248502927718413, 0.22637007197104803, 0.22987267661155902, 1.610829505189253, -1.321748156086936]",Pineapple
7,s3a://vivianorsprojet8/dataset/Pineapple/113_100.jpg,"[11.461435737014389, -1.960129839352189, 0.083993055499328, -3.219078582157632, -0.42253621149985804, 1.120940389746322, 0.043083441809947005, -0.12882336155554802, 1.350864171314036, -0.431689534775329]",Pineapple
8,s3a://vivianorsprojet8/dataset/Pineapple/117_100.jpg,"[11.59937640647574, -2.074737053076898, 0.135223512490143, -3.420873952329643, -0.679380857146999, 0.402636791140878, 0.502212659601667, 0.333937600316458, 1.7721662586214402, -0.8656703233499231]",Pineapple
9,s3a://vivianorsprojet8/dataset/Pineapple/44_100.jpg,"[12.717545854398622, -4.154948802469996, -0.195146171818248, -7.328555773279894, 1.936859678957637, 4.06423674317207, -0.62844597583453, 4.370377859313536, 6.138716173004284, -1.4253483915767111]",Pineapple
10,s3a://vivianorsprojet8/dataset/Pineapple/159_100.jpg,"[11.801072471549947, -2.617868246965394, -1.410918350371414, -3.655924603296079, -1.4224942853505491, 2.274506479478026, 0.8469219860792031, 0.9379818094212091, 0.832719794471093, -1.696537733777868]",Pineapple
